,herb1,herb2
0,1244,1241
1,1244,1231
2,1244,1218
3,1244,1192
4,1244,1105
5,1244,1035
6,1244,971
7,1244,965
8,1244,894
9,1244,878
10,1244,811
11,1244,693
12,1244,679
13,1244,561
14,1244,528
15,1244,419
16,1244,370
17,1244,346
18,1244,334
19,1244,250
20,1244,202
21,1244,192
22,1244,58
23,1244,41
24,1241,1244
25,1241,1231
26,1241,1218
27,1241,1192
28,1241,1105
29,1241,1035
30,1241,971
31,1241,965
32,1241,894
33,1241,878
34,1241,811
35,1241,693
36,1241,679
37,1241,561
38,1241,528
39,1241,419
40,1241,370
41,1241,346
42,1241,334
43,1241,250
44,1241,202
45,1241,192
46,1241,58
47,1241,41
48,1231,1244
49,1231,1241
50,1231,1218
51,1231,1192
52,1231,1105
53,1231,878
54,1231,811
55,1231,693
56,1231,419
57,1231,370
58,1231,334
59,1231,202
60,1231,58
61,1231,41
62,1218,1244
63,1218,1241
64,1218,1231
65,1218,1192
66,1218,1105
67,1218,878
68,1218,811
69,1218,693
70,1218,419
71,1218,370
72,1218,334
73,1218,202
74,1218,58
75,1218,55
76,1218,48
77,1218,41
78,1215,1212
79,1215,334
80,1212,1215
81,1212,334
82,1205,87
83,1204,1067
84,1204,1029
85,1204,908
86,1203,1165
87,1203,1164
88,1203,1128
89,1203,1099
90,1203,1035
91,1203,960
92,1203,958
93,1203,954
94,1203,924
95,1203,890
96,1203,874
97,1203,811
98,1203,679
99,1203,571
100,1203,556
101,1203,528
102,1203,497
103,1203,419
104,1203,349
105,1203,346
106,1203,262
107,1203,196
108,1203,167
109,1203,164
110,1203,128
111,1203,58
112,1203,55
113,1203,8
114,1199,869
115,1199,583
116,1199,571
117,1199,292
118,1192,1244
119,1192,1241
120,1192,1231
121,1192,1218
122,1192,1105
123,1192,878
124,1192,811
125,1192,693
126,1192,419
127,1192,370
128,1192,334
129,1192,202
130,1192,58
131,1192,41
132,1190,1159
133,1190,1035
134,1190,971
135,1190,965
136,1190,757
137,1190,708
138,1190,679
139,1190,561
140,1190,547
141,1190,462
142,1190,346
143,1190,334
144,1190,309
145,1190,250
146,1190,192
147,1190,170
148,1190,48
149,1178,940
150,1178,884
151,1174,971
152,1174,682
153,1174,427
154,1174,399
155,1174,346
156,1174,309
157,1174,260
158,1174,196
159,1174,137
160,1171,575
161,1171,388
162,1171,359
163,1165,1203
164,1165,1164
165,1165,924
166,1165,556
167,1165,55
168,1164,1203
169,1164,1165
170,1164,924
171,1164,556
172,1164,55
173,1159,1190
174,1159,1035
175,1159,971
176,1159,965
177,1159,679
178,1159,561
179,1159,547
180,1159,346
181,1159,334
182,1159,250
183,1159,192
184,1158,513
185,1158,359
186,1156,359
187,1144,1135
188,1144,115
189,1137,757
190,1137,693
191,1137,564
192,1137,309
193,1137,190
194,1137,188
195,1137,48
196,1136,834
197,1136,336
198,1136,128
199,1135,1144
200,1135,115
201,1129,361
202,1128,1203
203,1128,958
204,1128,757
205,1128,571
