,sym1,sym2
0,615,182
1,615,277
2,615,714
3,615,795
4,615,82
5,615,583
6,615,371
7,615,505
8,615,493
9,615,296
10,615,909
11,615,694
12,615,58
13,615,1000
14,615,435
15,615,832
16,615,863
17,615,380
18,615,848
19,615,51
20,615,1032
21,615,87
22,615,852
23,615,971
24,615,106
25,615,594
26,615,292
27,615,55
28,615,381
29,615,893
30,615,744
31,615,216
32,615,655
33,615,696
34,615,340
35,615,833
36,615,149
37,615,698
38,615,95
39,615,1012
40,615,346
41,615,240
42,615,166
43,615,765
44,615,695
45,615,46
46,615,667
47,615,224
48,615,1023
49,615,799
50,615,88
51,615,494
52,615,633
53,615,63
54,615,902
55,615,734
56,615,603
57,615,291
58,615,366
59,615,660
60,615,461
61,615,289
62,615,1061
63,615,720
64,615,118
65,615,950
66,615,699
67,615,1041
68,615,905
69,615,668
70,615,895
71,615,645
72,615,897
73,615,672
74,615,33
75,615,1026
76,615,845
77,615,532
78,615,741
79,615,492
80,615,154
81,615,876
82,615,997
83,283,296
84,283,608
85,283,215
86,283,235
87,283,55
88,283,481
89,283,744
90,283,217
91,283,95
92,283,456
93,283,46
94,283,224
95,283,1024
96,283,63
97,283,511
98,283,950
99,283,897
100,283,1019
101,283,532
102,283,741
103,828,944
104,828,858
105,364,332
106,364,82
107,364,296
108,364,860
109,364,887
110,364,857
111,364,87
112,364,574
113,364,55
114,364,68
115,364,744
116,364,655
117,364,95
118,364,858
119,364,46
120,364,224
121,364,1023
122,364,63
123,364,511
124,364,897
125,364,1026
126,364,466
127,364,532
128,364,741
129,364,321
130,171,182
131,171,428
132,171,493
133,171,296
134,171,435
135,171,1032
136,171,87
137,171,852
138,171,594
139,171,55
140,171,744
141,171,216
142,171,95
143,171,346
144,171,765
145,171,46
146,171,224
147,171,494
148,171,63
149,171,734
150,171,687
151,171,289
152,171,720
153,171,254
154,171,173
155,171,33
156,171,1031
157,171,845
158,171,532
159,171,741
160,171,170
161,171,492
162,171,876
163,518,296
164,518,87
165,518,348
166,518,55
167,518,744
168,518,95
169,518,46
170,518,224
171,518,63
172,518,511
173,518,897
174,518,532
175,518,741
176,518,321
177,182,615
178,182,171
179,182,81
180,182,789
181,182,786
182,182,277
183,182,714
184,182,795
185,182,850
186,182,82
187,182,736
188,182,305
189,182,371
190,182,530
191,182,544
192,182,1033
193,182,505
194,182,428
195,182,231
196,182,493
197,182,710
198,182,12
199,182,296
200,182,953
201,182,729
202,182,147
203,182,226
204,182,782
205,182,992
206,182,282
207,182,54
208,182,694
209,182,591
210,182,58
211,182,215
212,182,1000
213,182,161
214,182,234
215,182,955
216,182,404
217,182,985
218,182,418
219,182,542
220,182,592
221,182,958
222,182,435
223,182,273
224,182,984
225,182,832
226,182,863
227,182,969
228,182,644
229,182,848
230,182,679
231,182,51
232,182,939
233,182,945
234,182,1032
235,182,87
236,182,774
237,182,514
238,182,582
239,182,4
240,182,574
241,182,852
242,182,300
243,182,971
