,target1,target2
0,10552,0
1,8703,1
2,9721,2
3,10703,2
4,10604,2
5,8486,3
6,9550,3
7,9695,3
8,10049,3
9,9121,3
10,9626,4
11,8774,4
12,9455,4
13,8988,5
14,9138,5
15,8916,5
16,8556,5
17,8784,5
18,8418,5
19,8452,6
20,9906,7
21,10549,7
22,10124,7
23,10090,7
24,9310,8
25,9907,9
26,9388,9
27,8835,9
28,9804,9
29,8784,9
30,9048,9
31,9046,10
32,10049,10
33,10668,11
34,8681,11
35,9870,11
36,10524,11
37,10128,12
38,10954,13
39,9870,13
40,9121,14
41,10472,15
42,9233,15
43,10859,15
44,8454,16
45,9986,16
46,8835,16
47,8764,17
48,8764,18
49,9844,18
50,8764,19
51,9838,20
52,10585,21
53,10074,21
54,10330,22
55,10049,23
56,10049,24
57,9663,25
58,10330,26
59,8511,27
60,10082,27
61,9121,27
62,10397,28
63,9550,29
64,9866,30
65,9195,31
66,8448,32
67,10157,33
68,9817,34
69,10243,35
70,10082,35
71,9121,35
72,8438,36
73,10599,36
74,9121,36
75,10397,37
76,9121,38
77,10049,38
78,10397,39
79,8436,40
80,8391,41
81,10240,41
82,9530,42
83,9072,42
84,8784,42
85,8418,42
86,9890,43
87,8646,44
88,9981,45
89,9373,46
90,9971,47
91,9971,48
92,9804,49
93,9048,49
94,8901,50
95,9360,51
96,10060,51
97,8784,51
98,10049,51
99,9695,51
100,9392,52
101,10095,52
102,8418,52
103,10016,53
104,10694,54
105,10694,55
106,10694,56
107,9499,57
108,9499,58
109,9360,59
110,9466,60
111,8736,61
112,8784,61
113,8869,62
114,8675,62
115,9554,62
116,8835,62
117,9804,62
118,8418,62
119,8793,63
120,10599,64
121,9155,65
122,10524,65
123,10060,65
124,9379,66
125,8836,67
126,9853,68
127,9853,69
128,8558,70
129,9610,71
130,10328,71
131,9152,71
132,8587,71
133,8772,71
134,8883,71
135,9982,71
136,9276,71
137,9124,71
138,8381,72
139,8723,73
140,9530,73
141,9233,73
142,9072,73
143,9098,74
144,8418,74
145,8395,75
146,9695,75
147,10082,76
148,10209,77
149,10190,78
150,9749,78
151,10803,79
152,8418,79
153,8418,80
154,9129,81
155,9981,82
156,9550,83
157,10095,83
158,10898,84
159,8578,84
160,9423,84
161,9814,84
162,9494,85
163,8883,86
164,9392,87
165,9549,88
166,9817,89
167,10982,90
168,8722,90
169,10183,90
170,9784,90
171,10095,90
172,9695,90
173,9499,90
174,10397,91
175,9814,92
176,9195,93
177,9140,94
178,10996,94
179,10657,94
180,9823,94
181,9577,94
182,9026,94
183,8883,94
184,9637,95
185,9554,96
186,8784,96
187,9379,97
188,9072,97
189,9804,97
190,9048,97
191,9695,98
192,8793,99
193,9361,100
194,9415,100
195,8952,100
196,9704,100
197,8651,100
198,9554,100
199,10060,100
200,8793,100
201,8793,100
202,9110,101
203,10077,102
204,10646,102
205,9934,102
206,10549,102
207,9525,102
208,8438,102
209,9906,102
210,9525,102
211,10859,102
212,8519,103
213,8675,103
214,8418,103
215,8835,103
216,8674,104
217,8741,105
218,10727,106
219,10364,107
220,9333,107
221,10996,107
222,9577,107
223,9506,107
224,10074,107
225,9048,108
226,9643,109
227,9643,110
228,10095,111
229,9330,112
230,9276,113
231,8773,114
232,10233,114
233,10898,114
234,8670,114
235,10211,114
236,9166,114
237,8629,114
238,9986,114
239,10890,114
240,10124,114
241,10095,114
242,9814,114
243,10222,114
244,9273,115
245,10904,115
246,8950,116
247,9572,117
248,9121,117
249,9804,118
250,9048,118
251,10604,119
252,9209,120
253,9516,121
254,8537,121
255,9923,121
256,10097,122
257,10375,123
258,9606,123
259,10375,123
260,9862,124
261,9644,125
262,8831,125
263,10903,126
264,10222,127
265,8835,128
266,10139,129
267,9554,130
268,10082,131
269,8438,132
270,8797,133
271,8702,134
272,8818,134
273,9298,134
274,9609,134
275,9663,134
276,10076,134
277,10112,134
278,8944,134
279,9314,134
280,8681,134
281,8801,134
282,8848,134
283,8932,134
284,9581,134
285,11013,134
286,9364,134
287,10235,134
288,9348,134
289,9530,134
290,9823,134
291,8498,134
292,8988,134
293,9215,134
294,8824,134
295,10803,134
296,10507,134
297,10124,134
298,9315,134
299,10908,134
300,10442,134
301,9784,134
302,9423,134
303,9695,134
304,10330,135
305,8830,136
306,10645,137
307,10796,137
308,10472,137
309,9982,138
310,10904,138
311,10791,139
312,9046,140
313,9583,141
314,8543,142
315,9438,142
316,10499,142
317,8742,142
318,9577,142
319,8862,142
320,8497,142
321,9828,142
322,10128,143
323,9814,144
324,8674,144
325,10646,145
326,9797,146
327,8846,147
328,9522,148
329,10049,149
330,9354,150
331,9695,151
332,10388,152
333,8772,152
334,9276,152
335,10420,152
336,10074,152
337,9124,152
338,9294,153
339,10493,154
340,9392,154
341,9986,154
342,9817,154
343,10442,154
344,10095,154
345,9971,155
346,9971,156
347,9890,157
348,9981,158
349,10016,159
350,10049,159
351,9102,160
352,9026,160
353,9866,161
354,9406,162
355,8418,163
356,9804,163
357,8784,163
358,9048,163
359,9195,164
360,10646,165
361,8395,166
362,8916,166
363,9773,167
364,8835,168
365,10128,169
366,8834,170
367,9048,170
368,8525,171
369,9946,172
370,9988,172
371,8668,173
372,8849,173
373,9457,173
374,8853,174
375,9046,175
376,10330,175
377,10049,176
378,8374,177
379,8978,178
380,9862,179
381,9388,180
382,8784,180
383,8835,180
384,10095,181
385,9967,182
386,8472,182
387,10605,182
388,10615,182
389,8745,182
390,10013,182
391,10777,182
392,9277,182
393,9194,182
394,10493,182
395,10920,182
396,10890,182
397,10124,182
398,8781,182
399,8793,182
400,10524,182
401,8835,183
402,8678,184
403,8352,185
404,9147,186
405,10330,187
406,9550,188
407,8448,189
408,9899,190
409,10049,190
410,9394,191
411,8835,191
412,8651,192
413,8418,192
414,8723,193
415,8800,194
416,9379,195
417,8439,196
418,9939,197
419,9853,197
420,8439,197
421,10049,197
422,10599,198
423,9696,199
424,8920,200
425,9774,200
426,9515,200
427,9402,200
428,10013,200
429,9348,200
430,10493,200
431,8978,200
432,9277,200
433,10236,200
434,10890,200
435,10124,200
436,10604,200
437,10058,200
438,9556,200
439,10823,200
440,9125,200
441,9494,200
442,10859,200
443,9695,200
444,10524,200
445,8871,201
446,8418,202
447,10903,203
448,9492,204
449,9121,205
450,9746,206
451,8397,207
452,8830,207
453,9817,208
454,10894,209
455,8553,209
456,8819,209
457,9138,209
458,8916,209
459,9072,209
460,8418,209
461,8793,209
462,8863,210
463,8578,210
464,10903,211
465,8497,212
466,9695,212
467,11001,213
468,9373,214
469,8995,214
470,10029,215
471,10903,216
472,10069,217
473,8953,218
474,9373,218
475,8793,218
476,10060,219
477,9797,220
478,9072,220
479,9706,221
480,8784,222
481,9072,223
482,8529,224
483,10308,224
484,8883,224
485,8709,225
486,8747,225
487,10442,226
488,10095,226
489,8654,227
490,9052,228
491,9964,229
492,10011,230
493,10288,231
494,9554,231
495,10552,232
496,11036,233
497,10389,233
498,10538,233
499,8362,233
500,10643,233
501,11036,234
502,10014,235
503,8778,235
504,8654,235
505,8793,235
506,8793,235
507,10633,236
508,10524,236
509,8793,236
510,9067,237
511,9379,238
512,9828,239
513,9723,240
514,10160,240
515,8921,241
516,8849,241
517,8946,241
518,8511,241
519,10049,241
520,9032,242
521,8407,243
522,10689,243
523,9220,243
524,9161,244
525,9220,244
526,9971,244
527,10245,245
528,9496,246
529,9870,246
530,8834,246
531,9388,246
532,9864,246
533,8835,246
534,9804,246
535,9048,246
536,10700,247
537,8741,247
538,9276,247
539,9423,247
540,10074,248
541,9724,249
542,10095,249
543,8784,250
544,9672,251
545,10801,252
546,9283,252
547,8717,252
548,10187,252
549,9607,252
550,10022,252
551,9494,252
552,8411,253
553,9704,253
554,8887,254
555,9907,254
556,8784,254
557,10060,254
558,9499,254
559,9804,254
560,8418,254
561,9048,254
562,9817,255
563,9940,256
564,8429,256
565,10204,256
566,8870,256
567,8863,256
568,9899,256
569,9784,256
570,10060,256
571,9554,256
572,9728,257
573,10082,257
574,9382,258
575,8675,258
576,9382,258
577,8675,259
578,10904,260
579,10330,260
580,9208,261
581,8639,262
582,9838,262
583,8578,262
584,8377,263
585,8599,264
586,10708,264
587,10099,265
588,9728,266
589,9804,266
590,9048,266
591,10060,267
592,8747,268
593,10288,268
594,9277,269
595,10288,269
596,9466,270
597,10975,271
598,10599,271
599,9460,271
600,8859,271
601,9599,272
602,9598,272
603,8885,272
604,9272,272
605,8912,272
606,8986,272
607,9530,272
608,9644,272
609,8973,272
610,8778,272
611,8654,272
612,10213,273
613,10997,273
614,9048,273
615,10049,273
616,10222,273
617,9097,274
618,9135,274
619,8777,275
620,10635,275
621,8721,275
622,9310,275
623,9554,275
624,10060,275
625,8869,276
626,9388,276
627,9554,276
628,8835,276
629,9804,276
630,10192,277
631,9494,277
632,10552,278
633,10885,279
634,8983,280
635,8983,280
636,8674,281
637,8674,282
638,8729,283
639,8742,283
640,9430,283
641,9935,283
642,9423,283
643,8497,283
644,10022,283
645,9212,284
646,10076,284
647,10507,284
648,9647,284
649,9637,284
650,9864,285
651,9494,286
652,8411,287
653,8565,287
654,9030,287
655,8772,287
656,10685,287
657,9828,287
658,10016,288
659,10052,289
660,10198,290
661,8502,290
662,8603,290
663,8450,290
664,9866,290
665,8652,290
666,8543,290
667,9472,290
668,9684,290
669,9902,290
670,8722,290
671,10493,290
672,8774,290
673,9637,290
674,10082,290
675,9043,290
676,10397,290
677,9817,290
678,9121,290
679,9554,290
680,9695,290
681,9569,291
682,8814,292
683,10060,292
684,8740,293
685,10969,293
686,9665,293
687,9052,293
688,9357,294
689,8731,294
690,8538,295
691,10209,296
692,9765,297
693,10861,297
694,8553,297
695,9532,297
696,10076,297
697,8674,297
698,10214,297
699,10060,297
700,9846,298
701,8836,299
702,9875,300
703,8793,301
704,8668,302
705,8849,302
706,9117,302
707,9986,302
708,10904,302
709,9233,302
710,9554,302
711,10060,302
712,8778,303
713,9864,303
714,8654,303
715,9804,304
716,9048,304
717,8835,304
718,8784,305
719,10064,306
720,9223,307
721,8883,307
722,8716,308
723,9682,309
724,8556,310
725,10049,311
726,9844,312
727,8872,313
728,9838,313
729,10102,314
730,9877,315
731,9414,316
732,9704,316
733,9164,316
734,8793,316
735,10057,317
736,9961,317
737,9215,317
738,10022,317
739,8781,317
740,9203,318
741,8986,318
742,10928,319
743,8883,320
744,10420,320
745,9506,320
746,10074,320
747,9124,320
748,9954,321
749,8671,321
750,9827,321
751,8862,321
752,10685,321
753,10209,321
754,10128,322
755,10552,322
756,8418,323
757,9549,324
758,9164,324
759,9603,325
760,8629,325
761,8986,325
762,9603,326
763,9655,326
764,8986,326
765,8556,326
766,8912,326
767,8973,326
768,10060,326
769,8835,326
770,8831,327
771,9364,328
772,10243,328
773,9380,329
774,8774,330
775,10708,330
776,9626,330
777,8793,330
778,8793,331
779,9672,332
780,10205,333
781,8973,333
782,9890,333
783,9583,334
784,9838,335
785,9906,336
786,8651,336
787,8360,337
788,9373,337
789,8620,337
790,10969,337
791,9665,337
792,9052,337
793,10057,338
794,9784,338
795,8681,339
796,9695,339
797,9335,340
798,10561,340
799,10288,341
800,9335,342
801,9767,342
802,8439,342
803,9388,342
804,10288,342
805,8675,342
806,8781,342
807,8745,343
808,10826,343
809,10920,343
810,10777,343
811,9046,343
812,10139,343
813,10397,343
814,8831,343
815,8519,344
816,10182,345
817,10744,345
818,9644,345
819,8654,345
820,8793,346
821,10498,347
822,9277,347
823,10614,347
824,8389,347
825,9494,347
826,9382,347
827,8793,347
828,10524,347
829,8793,348
830,10593,349
831,9655,349
832,8831,350
833,8653,350
834,9043,350
835,8793,350
836,10022,351
837,8747,352
838,8973,352
839,8651,353
840,9554,353
841,10517,354
842,10517,354
843,10696,354
844,10148,354
845,10903,354
846,9402,355
847,9402,355
848,8550,356
849,8464,356
850,10288,356
851,9636,357
852,8529,358
853,8883,358
854,10420,358
855,9828,358
856,8668,359
857,8849,359
858,9925,359
859,11025,359
860,9932,359
861,9457,359
862,8404,359
863,8673,359
864,10604,359
865,9864,359
866,10222,359
867,9833,360
868,9109,360
869,9053,360
870,10694,360
871,8869,360
872,8945,360
873,9499,360
874,8406,361
875,8846,361
876,9418,361
877,9494,361
878,9433,362
879,10000,362
880,8836,362
881,9555,362
882,9723,363
883,9124,363
884,8947,364
885,10228,364
886,9635,365
887,8406,366
888,10635,367
889,10730,368
890,9195,368
891,8915,369
892,9119,369
893,9532,369
894,9119,370
895,9117,371
896,8879,372
897,10703,372
898,10100,372
899,10549,372
900,9466,372
901,8371,373
902,8412,374
903,8953,374
904,8986,375
905,9201,375
906,8912,375
907,8673,375
908,8973,375
909,9043,375
910,10552,375
911,8980,376
912,10442,377
913,9695,377
914,8511,378
915,9379,378
916,10972,379
917,10643,379
918,10257,380
919,9276,380
920,8497,380
921,8543,381
922,8705,381
923,9110,382
924,9525,382
925,10222,383
926,9610,384
927,9920,384
928,9293,384
929,10616,384
930,10499,384
931,8741,384
932,9003,384
933,8391,384
934,9430,384
935,11014,384
936,8797,384
937,9828,384
938,9423,384
939,10330,384
940,9233,385
941,10240,385
942,9360,385
943,10240,385
944,10256,386
945,10605,386
946,8920,386
947,9749,386
948,8587,386
949,8832,386
950,9846,386
951,10826,386
952,8745,386
953,9369,386
954,10777,386
955,10585,386
956,10493,386
957,8471,386
958,10920,386
959,10139,386
960,9125,386
961,10124,386
962,8916,386
963,8831,386
964,8793,386
965,9246,387
966,10202,387
967,10124,387
968,10235,388
969,8420,389
970,11030,389
971,8430,389
972,8424,389
973,9220,389
974,9355,389
975,11027,389
976,9971,389
977,10128,389
978,8781,389
979,10222,389
980,8529,390
981,9048,390
982,9155,391
983,10524,391
984,10604,392
985,9121,392
986,9178,393
987,9178,394
988,9572,395
989,9309,396
990,9045,396
991,8793,396
992,8654,397
993,8486,398
994,8723,398
995,8722,398
996,9429,398
997,9934,398
998,9550,398
999,9360,398
1000,9499,398
1001,9499,399
1002,9499,400
1003,9767,401
1004,10599,401
1005,8454,401
1006,8654,401
1007,10288,402
1008,8436,403
1009,8673,404
1010,10288,405
1011,8374,406
1012,9498,407
1013,9295,407
1014,8454,407
1015,8778,407
1016,9864,407
1017,8781,407
1018,10123,408
1019,8912,409
1020,8599,410
1021,8747,411
1022,9418,412
1023,10124,413
1024,8519,413
1025,9423,413
1026,10900,414
1027,8971,415
1028,9644,416
1029,9844,416
1030,10593,417
1031,9655,417
1032,8439,417
1033,9220,418
1034,8420,418
1035,10204,418
1036,9971,418
1037,11027,418
1038,8875,418
1039,9647,418
1040,8674,418
1041,10222,418
1042,9276,419
1043,8831,420
1044,9964,421
1045,9956,422
1046,9956,423
1047,9982,424
1048,9804,424
1049,9048,424
1050,8863,425
1051,9048,425
1052,9235,426
1053,9647,426
1054,10243,426
1055,10524,426
1056,10214,427
1057,9093,428
1058,10222,429
1059,9301,430
1060,8976,430
1061,8774,430
1062,8836,430
1063,9930,430
1064,8781,430
1065,9864,430
1066,10687,431
1067,9403,431
1068,8772,431
1069,10420,431
1070,10095,432
1071,11006,433
1072,8879,433
1073,9117,433
1074,10549,433
1075,10920,433
1076,8389,433
1077,10240,433
1078,8498,433
1079,9121,433
1080,10239,434
1081,10507,434
1082,10102,434
1083,10507,434
1084,10442,434
1085,8793,434
1086,8747,435
1087,8781,435
1088,8429,436
1089,8674,436
1090,9692,436
1091,10130,436
1092,9528,436
1093,9655,436
1094,10285,436
1095,9335,436
1096,9707,436
1097,8439,436
1098,8781,436
1099,9494,436
1100,10049,436
1101,8560,437
1102,8538,438
1103,10579,438
1104,8671,438
1105,8367,438
1106,8742,438
1107,9003,438
1108,8578,438
1109,9935,438
1110,9048,439
1111,10205,440
1112,8728,441
1113,8983,442
1114,9515,443
1115,8404,443
1116,10604,443
1117,9121,443
1118,10552,443
1119,9121,443
1120,10087,444
1121,8519,444
1122,10087,445
1123,9554,446
1124,10095,447
1125,9121,448
1126,9121,448
1127,9671,449
1128,10135,450
1129,10388,451
1130,10180,452
1131,9569,452
1132,9550,453
1133,10397,453
1134,9765,454
1135,9875,454
1136,10061,455
1137,9138,455
1138,8916,455
1139,8418,455
1140,9804,455
1141,9048,455
1142,10049,455
1143,8835,455
1144,9072,455
1145,10080,456
1146,9415,456
1147,9207,456
1148,9138,456
1149,8916,456
1150,9072,456
1151,8784,456
1152,8418,456
1153,10318,457
1154,10318,457
1155,8619,457
1156,9971,457
1157,8974,458
1158,10120,459
1159,9130,459
1160,9930,459
1161,10011,460
1162,8976,460
1163,10011,460
1164,10011,461
1165,10442,462
1166,9423,462
1167,9695,462
1168,10765,463
1169,8797,464
1170,9506,464
1171,9875,465
1172,10022,465
1173,10222,465
1174,9360,466
1175,10120,467
